"time","close","high","low","open","volumefrom","volumeto","conversionType","conversionSymbol","ts","timeDate"
1507939200000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1507939200,"2017-10-13"
1508025600000,0.0396,0.0396,0.0396,0.0396,14.09,0.558,"direct","",1508025600,"2017-10-14"
1508112000000,0.0495,0.0495,0.0495,0.0495,20.17,0.9982,"direct","",1508112000,"2017-10-15"
1508198400000,0.0495,0.0495,0.0495,0.0495,0,0,"direct","",1508198400,"2017-10-16"
1508284800000,0.0495,0.0495,0.0495,0.0495,0,0,"direct","",1508284800,"2017-10-17"
1508371200000,0.0495,0.0495,0.0495,0.0495,0,0,"direct","",1508371200,"2017-10-18"
1508457600000,0.0495,0.0495,0.0495,0.0495,0,0,"direct","",1508457600,"2017-10-19"
1508544000000,0.0495,0.0495,0.0495,0.0495,0,0,"direct","",1508544000,"2017-10-20"
1508630400000,0.0495,0.0495,0.0495,0.0495,0,0,"direct","",1508630400,"2017-10-21"
1508716800000,0.0495,0.0495,0.0495,0.0495,0,0,"direct","",1508716800,"2017-10-22"
1508803200000,0.0495,0.0495,0.0495,0.0495,0,0,"direct","",1508803200,"2017-10-23"
1508889600000,0.0495,0.0495,0.0495,0.0495,0,0,"direct","",1508889600,"2017-10-24"
1508976000000,0.0495,0.0495,0.0495,0.0495,0,0,"direct","",1508976000,"2017-10-25"
1509062400000,0.0495,0.0495,0.0495,0.0495,0,0,"direct","",1509062400,"2017-10-26"
1509148800000,0.0495,0.0495,0.0495,0.0495,0,0,"direct","",1509148800,"2017-10-27"
1509235200000,0.05896,0.05896,0.05896,0.05896,4968.88,286.56,"direct","",1509235200,"2017-10-28"
1509321600000,0.05896,0.05896,0.05896,0.05896,0,0,"direct","",1509321600,"2017-10-29"
1509408000000,0.05896,0.05896,0.05896,0.05896,0,0,"direct","",1509408000,"2017-10-30"
1509494400000,0.05896,0.05896,0.05896,0.05896,0,0,"direct","",1509494400,"2017-10-31"
1509580800000,0.036,0.05883,0.036,0.03601,400,21.12,"direct","",1509580800,"2017-11-01"
1509667200000,0.036,0.036,0.036,0.036,0,0,"direct","",1509667200,"2017-11-02"
1509753600000,0.035,0.035,0.035,0.035,263.55,7.909,"direct","",1509753600,"2017-11-03"
