"time","timeDate","close","high","low","open","volumefrom","volumeto","ts"
1576627200000,"2019-12-17",0.00000131,0.00000135,0.00000129,0.00000134,27995844.97,37.13,
1576713600000,"2019-12-18",0.00000129,0.00000131,0.00000128,0.00000131,21768434.11,28.18,
1576800000000,"2019-12-19",0.00000132,0.00000132,0.00000128,0.00000129,24603643.91,31.98,
1576886400000,"2019-12-20",0.00000131,0.00000134,0.0000013,0.00000132,24100034.46,31.72,
1576972800000,"2019-12-21",0.0000013,0.00000133,0.00000129,0.00000131,19655858.76,25.7,
1577059200000,"2019-12-22",0.00000128,0.0000013,0.00000126,0.0000013,25257715.5,32.24,
1577145600000,"2019-12-23",0.00000128,0.0000013,0.00000126,0.00000128,19939286.37,25.45,
1577232000000,"2019-12-24",0.00000128,0.00000129,0.00000127,0.00000128,18928300.99,24.22,
1577318400000,"2019-12-25",0.00000126,0.00000128,0.00000125,0.00000128,19915269.6,25.16,
1577404800000,"2019-12-26",0.00000124,0.00000127,0.00000123,0.00000126,20941665.11,26.17,
1577491200000,"2019-12-27",0.00000123,0.00000125,0.00000122,0.00000124,22770771.24,28.12,
1577577600000,"2019-12-28",0.00000124,0.00000125,0.00000122,0.00000123,19798305.82,24.51,
1577664000000,"2019-12-29",0.00000123,0.00000125,0.00000122,0.00000124,21942970.86,27.04,
1577750400000,"2019-12-30",0.00000125,0.00000126,0.00000122,0.00000123,26691282.47,33.15,
1577836800000,"2019-12-31",0.00000128,0.0000013,0.00000125,0.00000125,30211865.9,38.57,
1577923200000,"2020-01-01",0.00000129,0.0000013,0.00000126,0.00000128,25646768.8,32.78,
1578009600000,"2020-01-02",0.00000122,0.0000013,0.0000012,0.00000129,41070101.9,50.94,
1578096000000,"2020-01-03",0.00000121,0.00000127,0.00000121,0.00000122,29589786.96,36.36,
1578182400000,"2020-01-04",0.00000122,0.00000123,0.0000012,0.00000121,21107591.02,25.75,
1578268800000,"2020-01-05",0.00000121,0.00000126,0.0000012,0.00000122,31170975.17,38.25,
1578355200000,"2020-01-06",0.00000118,0.00000124,0.00000118,0.00000121,35602195.04,42.91,
1578441600000,"2020-01-07",0.00000115,0.00000119,0.00000112,0.00000118,28750749.44,32.88,
1578528000000,"2020-01-08",0.00000114,0.00000116,0.00000113,0.00000115,28725098.17,32.85,
1578614400000,"2020-01-09",0.00000113,0.00000115,0.00000112,0.00000114,28031716.47,31.86,
1578700800000,"2020-01-10",0.00000113,0.00000114,0.00000111,0.00000113,24536000.47,27.61,
1578787200000,"2020-01-11",0.00000116,0.00000117,0.00000113,0.00000113,24714462.25,28.47,
1578873600000,"2020-01-12",0.00000116,0.00000117,0.00000114,0.00000116,25714480.9,29.72,
1578960000000,"2020-01-13",0.00000113,0.00000116,0.00000111,0.00000116,32412772.89,36.83,
1579046400000,"2020-01-14",0.00000117,0.0000012,0.00000113,0.00000113,43152469.37,50.77,
1579132800000,"2020-01-15",0.00000116,0.00000118,0.00000115,0.00000117,26596131.75,30.9,
1579219200000,"2020-01-16",0.00000118,0.00000119,0.00000115,0.00000116,34798441.67,40.93,
1579305600000,"2020-01-17",0.0000012,0.00000122,0.00000117,0.00000118,30679516.23,36.48,
1579392000000,"2020-01-18",0.00000118,0.00000124,0.00000117,0.0000012,38455667.82,46.27,
1579478400000,"2020-01-19",0.0000012,0.0000012,0.00000117,0.00000118,24573065.89,29,
1579564800000,"2020-01-20",0.00000122,0.00000123,0.00000118,0.0000012,25670597.36,30.93,
1579651200000,"2020-01-21",0.00000124,0.00000125,0.00000121,0.00000122,28636035.3,35.36,
1579737600000,"2020-01-22",0.0000012,0.00000125,0.0000012,0.00000124,24907966.45,30.43,
1579824000000,"2020-01-23",0.00000124,0.00000125,0.0000012,0.0000012,26440657.31,32.23,
1579910400000,"2020-01-24",0.00000124,0.00000125,0.00000123,0.00000124,19417316.99,24.09,
1579996800000,"2020-01-25",0.00000125,0.00000127,0.00000123,0.00000124,24884062.3,31.08,
1580083200000,"2020-01-26",0.0000012,0.00000125,0.0000012,0.00000125,31005750.13,37.86,
1580169600000,"2020-01-27",0.00000118,0.00000123,0.00000118,0.0000012,27157209.16,32.72,
1580256000000,"2020-01-28",0.00000118,0.0000012,0.00000117,0.00000118,22821702.37,27.03,
1580342400000,"2020-01-29",0.00000115,0.00000119,0.00000114,0.00000118,25864484.85,30.1,
1580428800000,"2020-01-30",0.00000116,0.00000117,0.00000114,0.00000115,28803999.44,33.31,
1580515200000,"2020-01-31",0.00000153,0.00000158,0.00000116,0.00000116,169079335.22,233.19,
1580601600000,"2020-02-01",0.00000146,0.00000178,0.00000144,0.00000153,374344843.54,606.53,
1580688000000,"2020-02-02",0.00000148,0.00000154,0.00000143,0.00000146,102061682.53,151.92,
1580774400000,"2020-02-03",0.00000151,0.00000153,0.00000143,0.00000148,60783885.18,89.62,
1580860800000,"2020-02-04",0.00000159,0.00000164,0.00000148,0.00000151,88097422.58,137.94,
1580947200000,"2020-02-05",0.00000157,0.00000163,0.00000154,0.00000159,70525727.35,111.81,
1581033600000,"2020-02-06",0.00000162,0.00000162,0.00000153,0.00000157,78781393.71,124.58,
1581120000000,"2020-02-07",0.00000158,0.00000164,0.00000152,0.00000162,87651310.45,138.81,
1581206400000,"2020-02-08",0.00000172,0.00000194,0.00000157,0.00000158,176075016.58,302.37,
1581292800000,"2020-02-09",0.00000169,0.00000177,0.00000163,0.00000172,89545189.52,151.38,
1581379200000,"2020-02-10",0.00000173,0.00000175,0.00000166,0.00000169,57866672.28,98.37,
1581465600000,"2020-02-11",0.00000182,0.00000189,0.00000171,0.00000173,75513391.21,136.37,
1581552000000,"2020-02-12",0.00000207,0.00000271,0.00000173,0.00000182,418862045.93,934.1,
1581638400000,"2020-02-13",0.00000211,0.00000229,0.00000198,0.00000207,177031129.54,373.31,
1581724800000,"2020-02-14",0.00000208,0.00000249,0.00000205,0.00000211,174734859.19,393.18,
1581811200000,"2020-02-15",0.00000196,0.00000228,0.00000179,0.00000208,137546045.34,279.82,
1581897600000,"2020-02-16",0.0000019,0.00000197,0.00000171,0.00000196,124954103.12,227.46,
1581984000000,"2020-02-17",0.00000202,0.00000212,0.00000188,0.0000019,105345724.76,211.11,
1582070400000,"2020-02-18",0.00000191,0.00000204,0.00000189,0.00000202,84950954.1,166.18,
1582156800000,"2020-02-19",0.00000181,0.00000195,0.00000176,0.00000191,115631503.27,213.85,
1582243200000,"2020-02-20",0.00000179,0.00000187,0.00000176,0.00000181,102652294.91,185.77,
1582329600000,"2020-02-21",0.0000018,0.00000182,0.00000176,0.00000179,52206147.04,93.6,
1582416000000,"2020-02-22",0.00000193,0.00000199,0.00000179,0.0000018,72396418.91,137.71,
1582502400000,"2020-02-23",0.00000181,0.00000195,0.00000179,0.00000193,83363680.91,154.17,
1582588800000,"2020-02-24",0.00000171,0.00000182,0.0000017,0.00000181,59799961.55,104.48,
1582675200000,"2020-02-25",0.00000159,0.00000171,0.00000151,0.00000171,87536493.68,138.88,
1582761600000,"2020-02-26",0.00000169,0.00000172,0.00000153,0.00000159,76185128.65,125.95,
1582848000000,"2020-02-27",0.00000168,0.00000175,0.00000158,0.00000169,65540123.3,109.18,
1582934400000,"2020-02-28",0.00000166,0.00000171,0.00000164,0.00000168,71135915.13,119.42,
1583020800000,"2020-02-29",0.00000169,0.00000175,0.00000163,0.00000166,288323429.34,484.58,
1583107200000,"2020-03-01",0.00000176,0.00000177,0.00000168,0.00000169,60811197.24,105.21,
1583193600000,"2020-03-02",0.0000018,0.00000187,0.00000172,0.00000176,76765677.85,137.83,
1583280000000,"2020-03-03",0.00000184,0.00000185,0.00000178,0.0000018,52176137.88,94.57,
1583366400000,"2020-03-04",0.00000181,0.00000185,0.00000181,0.00000184,52455250.18,96.04,
1583452800000,"2020-03-05",0.0000017,0.00000182,0.00000168,0.00000181,64112611.1,111.94,
1583539200000,"2020-03-06",0.00000169,0.00000177,0.00000168,0.0000017,78766108.88,135.9,
1583625600000,"2020-03-07",0.00000158,0.00000171,0.00000154,0.00000169,81956027.3,132.57,
1583712000000,"2020-03-08",0.00000157,0.00000166,0.00000147,0.00000158,56045558.92,87.99,
1583798400000,"2020-03-09",0.00000159,0.00000166,0.00000151,0.00000157,17458258.11,27.17,
1583884800000,"2020-03-10",0.00000156,0.00000167,0.00000147,0.00000159,47740401.51,74.29,
1583971200000,"2020-03-11",0.00000146,0.00000165,0.00000112,0.00000156,112933212.04,165.24,
1584057600000,"2020-03-12",0.00000161,0.00000172,0.00000127,0.00000146,139569617.35,214.72,
1584144000000,"2020-03-13",0.00000162,0.00000171,0.00000151,0.00000161,64602792.04,101.3,
1584230400000,"2020-03-14",0.00000157,0.00000172,0.00000148,0.00000162,52287029.77,84.32,
1584316800000,"2020-03-15",0.00000142,0.00000175,0.00000132,0.00000157,55444915.81,81.45,
1584403200000,"2020-03-16",0.00000147,0.00000155,0.00000134,0.00000142,144785450.32,210.8,
1584489600000,"2020-03-17",0.00000144,0.00000163,0.0000014,0.00000147,237700342.12,347.36,
1584576000000,"2020-03-18",0.00000253,0.00000264,0.00000141,0.00000144,962334498.16,2256.41,
1584662400000,"2020-03-19",0.00000204,0.00000262,0.00000198,0.00000253,324186015.87,710.51,
